id,aadA2,aadA2_colour,cmlA,cmlA_colour,sul,sul_colour,gyrA,gyrA_colour
Stm1,S,cef9f9,S,cef9f9,S,cef9f9,S,cef9f9
Stm2,S,cef9f9,S,cef9f9,S,cef9f9,S,cef9f9
Stm3,S,cef9f9,S,cef9f9,S,cef9f9,S,cef9f9
Stm4,S,cef9f9,S,cef9f9,S,cef9f9,S,cef9f9
Stm5,S,cef9f9,S,cef9f9,S,cef9f9,S,cef9f9
Stm6,S,cef9f9,S,cef9f9,S,cef9f9,S,cef9f9
Stm7,S,cef9f9,S,cef9f9,S,cef9f9,S,cef9f9
Stm8,S,cef9f9,S,cef9f9,S,cef9f9,S,cef9f9
Stm9,R,de1f1f,R,de1f1f,S,cef9f9,R,de1f1f
Stm10,R,de1f1f,R,de1f1f,S,cef9f9,S,cef9f9
Stm11,R,de1f1f,R,de1f1f,S,cef9f9,S,cef9f9
Stm12,R,de1f1f,S,cef9f9,R,de1f1f,S,cef9f9
Stm13,S,cef9f9,S,cef9f9,S,cef9f9,S,cef9f9
Stm14,S,cef9f9,S,cef9f9,S,cef9f9,S,cef9f9
Stm15,S,cef9f9,S,cef9f9,S,cef9f9,S,cef9f9
Stm16,S,cef9f9,S,cef9f9,S,cef9f9,S,cef9f9
Stm17,S,cef9f9,S,cef9f9,S,cef9f9,S,cef9f9
Stm18,R,de1f1f,S,cef9f9,R,de1f1f,S,cef9f9
Stm19,R,de1f1f,R,de1f1f,S,cef9f9,R,de1f1f
Stm20,R,de1f1f,S,cef9f9,R,de1f1f,S,cef9f9
Stm21,R,de1f1f,S,cef9f9,R,de1f1f,S,cef9f9
Stm22,R,de1f1f,R,de1f1f,S,cef9f9,R,de1f1f
Stm23,R,de1f1f,R,de1f1f,S,cef9f9,R,de1f1f
Stm24,S,cef9f9,S,cef9f9,S,cef9f9,R,de1f1f
